group,group_name,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
1,C1,chr13,42680799,43138526,1,Phactr1,355,2.51613104651523,1.10677115438433e-18,5.26892393815957
1,C1,chr7,91090786,92449246,1,Dlg2,1283,2.66389009270894,1.19253892661965e-18,5.66348108991548
1,C1,chr10,89873509,90972985,1,Anks1b,758,2.76110509165808,1.72911593173073e-18,5.41899068681447
1,C1,chr16,5884793,7412480,1,Rbfox1,48,2.53422863844925,1.09699099876404e-16,8.04557715456024
1,C1,chr2,7396198,6539694,2,Celf2,34,2.06816242614439,1.09699099876404e-16,5.87466199257489
1,C1,chr6,99520993,98925342,2,Foxp1,779,1.87907196096222,3.4337265550372e-15,4.7686865466661
1,C1,chr14,17082331,16430839,2,Rarb,61,2.68461280849707,3.54163622906789e-15,2.83080359448515
1,C1,chr17,8526801,8986648,1,Pde10a,53,2.26037705257434,3.54163622906789e-15,4.88223634424311
1,C1,chr1,21962650,21398399,2,Kcnq5,88,3.15540109184289,4.75428633714185e-15,2.02701000647462
1,C1,chr16,90143814,89787111,2,Tiam1,680,3.07285891857413,8.00469296173353e-14,2.21914170034474
1,C1,chr5,99729060,99297244,2,A930011G23Rik,645,2.70690294886815,8.00469296173353e-14,2.95566150172457
1,C1,chr16,35155636,35304549,1,Adcy5,373,2.40485876695107,8.0063484759824e-14,2.82856523439671
1,C1,chr10,20725068,20398004,2,Pde7b,99,2.89652905845877,4.97441679151444e-13,3.11680095232966
1,C1,chr12,82169420,82451786,1,Sipa1l1,422,2.17143213325697,8.59415868592463e-13,1.93767047824655
1,C1,chr15,48791989,47580638,2,Csmd3,190,2.49384136549037,1.07724550667176e-12,1.96044343126677
1,C1,chr11,24078056,24173558,1,Bcl11a,166,3.58656027768786,1.27860637454826e-12,1.59453835034494
1,C1,chr7,122289125,122634402,1,Prkcb,1782,2.51737344554141,1.87938700004745e-12,3.46892467136135
1,C1,chr1,154725920,154392519,2,Cacna1e,944,2.60233626707589,2.88157926120926e-12,2.1798206039051
1,C1,chr8,17535385,15892545,2,Csmd1,113,1.86472469094054,4.29109416846194e-12,3.18179453552115
1,C1,chr10,109010975,108497650,2,Syt1,858,2.07501095892654,4.5542762381909e-12,2.34829287672218
1,C1,chr3,65302685,65133059,2,A330015K06Rik,287,3.24967958838471,4.7494013369763e-12,1.52091530014744
1,C1,chr7,87584168,88135063,1,Grm5,1263,3.34607852997285,9.28996312930745e-12,2.77633036837763
1,C1,chr18,4634929,4682869,1,Jcad,10,3.95111671083832,1.19607564927834e-11,1.5408678083401
1,C1,chr3,158562221,158082895,2,Lrrc7,1137,2.56413944760724,1.41826929327883e-11,2.14102919560286
1,C1,chr18,64277180,64157724,2,St8sia3os,455,4.37245424055164,1.70532429772619e-11,1.19095292503504
1,C1,chr3,64949223,65378225,1,Kcnab1,286,2.68493931509341,2.208221477492e-11,2.17866985750654
1,C1,chr3,103575282,103645567,1,Syt6,759,3.54890448155739,2.21905275951783e-11,2.06250047113765
1,C1,chr5,117414002,117767996,1,Ksr2,889,3.37695645029933,3.41260988494331e-11,2.31167939442512
1,C1,chr14,119138265,119869815,1,Hs6st3,845,2.59154005532181,4.07310410915235e-11,2.85623754860001
1,C1,chr5,26817357,27727500,1,Dpp6,152,2.74556530186977,4.16498235960539e-11,3.53320008523848
1,C1,chr14,29721864,28904943,2,Cacna2d3,153,1.44662504078779,4.74760301891467e-11,2.62112301811204
1,C1,chr5,130369458,130840645,1,Caln1,1066,3.59607270637159,4.92664126279176e-11,2.29463242701316
