group,group_name,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
1,C1,chr9,120068296,120048683,2,Cx3cr1,1278,6.42254344542719,4.05470902765795e-45,5.32472373013171
1,C1,chr10,60346851,60372684,1,Vsir,334,4.90101772309271,1.83351438527789e-33,3.83957731781389
1,C1,chr4,47208012,47313165,1,Col15a1,294,2.66519092002289,2.72815774623867e-32,2.94868242657535
1,C1,chr10,60696490,60302750,2,Cdh23,333,3.20106672389971,7.91992797057933e-32,3.80123445925756
1,C1,chr7,114415161,114315479,2,4933406I18Rik,1701,3.58449478793167,4.29623441157834e-31,2.18886997292957
1,C1,chr16,33829665,33949338,1,Itgb5,364,3.65999407133937,8.9426661858832e-31,3.66230960921472
1,C1,chr18,61105572,61131139,1,Csf1r,421,5.33366233271991,8.9426661858832e-31,3.56440888060647
1,C1,chr2,128698997,128802188,1,Mertk,1379,2.79179306561926,4.19939045707255e-30,2.70723374496011
1,C1,chr17,84187947,84183924,2,Zfp36l2,1132,2.68106196629425,8.37948712926956e-30,5.46383235320191
1,C1,chr17,84078660,84089875,1,4933433H22Rik,1131,2.70889574477105,3.71731948537815e-29,3.05989567577273
1,C1,chr16,92826074,92601466,2,Runx1,722,4.2011439647291,1.6558505753629e-28,2.88190344435227
1,C1,chr11,95842476,95830072,2,Abi3,1198,3.96634984405742,8.66872767246698e-28,4.64186108269324
1,C1,chr8,120736358,120756694,1,Irf8,1056,4.00822987209954,2.24040708454898e-27,2.86896983795749
1,C1,chr7,80024814,80092751,1,Zfp710,1163,2.84293873156713,2.7508553989733e-27,3.99499231132135
1,C1,chr7,99711340,99657804,2,Slco2b1,1340,3.98761523175533,4.47683148936397e-27,3.0975228278521
1,C1,chr4,47353222,47414924,1,Tgfbr1,295,2.78864550641361,4.27042772122391e-26,2.31610059142186
1,C1,chr9,116175363,116087695,2,Tgfbr2,1245,3.29022854562484,4.53041378263005e-26,3.16936845322962
1,C1,chr9,32541452,32422204,2,Fli1,246,4.56405201454678,7.84553397114245e-26,2.21589074109421
1,C1,chr7,90029159,90049071,1,E230029C05Rik,1274,3.59167083002322,8.96419291645455e-26,3.15732229153517
1,C1,chr11,80154162,80178924,1,Adap2,980,6.21720698574389,2.23048922303353e-25,3.44728883161236
1,C1,chr7,142387870,142375916,2,Ctsd,2115,3.35922440582316,2.76100944535604e-25,3.17047219984719
1,C1,chr10,19591958,19610225,1,Ifngr1,87,3.64597015530806,5.23843010582084e-25,2.80796613541656
1,C1,chr5,113800358,113793729,2,Tmem119,815,6.07659130692733,5.78261743720506e-25,3.22961057790494
1,C1,chr2,129592839,129632228,1,Sirpa,1396,2.55489709015484,4.27817319103643e-24,3.00481186760062
1,C1,chr14,121965193,121952331,2,Gpr183,858,3.62486620984424,2.51255257960014e-23,2.30179118941673
1,C1,chr15,74955051,74959905,1,Ly6e,317,3.75955739028393,2.51255257960014e-23,2.55940159774415
1,C1,chr7,128418172,128373625,2,Rgs10,1915,3.85095403461439,2.51255257960014e-23,2.79531361777491
1,C1,chr4,136892914,136889802,2,C1qc,1124,6.72396582379889,6.84371794711445e-23,4.19496221789986
1,C1,chr8,126849020,126851833,1,A630001O12Rik,1161,2.66598548289651,7.35478478602248e-23,5.33591195404448
1,C1,chr1,58711491,58759209,1,Cflar,299,5.37834987854886,1.07826519337268e-22,2.24140597498371
1,C1,chr10,37138926,37133243,2,Marcks,205,3.29768123371504,1.07826519337268e-22,3.92950626820373
1,C1,chr3,59262831,59216271,2,P2ry12,258,3.37418561099033,1.25068009384164e-22,2.32771135754609
1,C1,chr5,113830501,113817798,2,Selplg,816,6.69569362230008,1.97251092094308e-22,2.51405813112983
1,C1,chr3,105053146,105001915,2,Cttnbp2nl,780,2.22768836855881,2.5152055952328e-22,3.41341418875916
1,C1,chr12,102283074,102390854,1,Rin3,572,4.63395997785907,8.34652192775892e-22,2.0952637130939
1,C1,chr1,87620312,87720510,1,Inpp5d,544,2.59058250514526,9.67637906226739e-22,3.09312152455369
1,C1,chr13,94057796,94195409,1,Lhfpl2,756,2.46542273535164,9.67637906226739e-22,2.39238068188068
1,C1,chr8,108714644,108961636,1,Zfhx3,933,1.92627843814775,9.67637906226739e-22,2.78213757968805
1,C1,chr2,75704663,75675513,2,Nfe2l2,688,3.22718896616318,2.06912270857235e-21,1.92784065444266
1,C1,chr8,89044162,89027242,2,Sall1,737,2.9960756107998,4.47189664265198e-21,4.06689909978226
1,C1,chr2,145786116,145887616,1,Rin2,1523,2.9085009221852,5.863828002863e-21,2.37571968864206
1,C1,chr6,82774454,82725025,2,Hk2,574,3.84543055833772,7.64140712213575e-21,1.59368222050848
1,C1,chr17,8236043,8257141,1,Ccr6,45,3.49252038182134,7.66582739460497e-21,2.28600859395658
1,C1,chrX,167209218,167207094,2,Tmsb4x,1031,2.97706002077367,7.66582739460497e-21,3.24978270762468
1,C1,chr1,131527361,131285251,2,Srgap2,765,1.61398241790641,1.79061930585703e-20,3.93775346825285
1,C1,chr14,30626208,30595354,2,Prkcd,165,2.83139154951265,2.30886537877638e-20,2.14515456204967
1,C1,chr7,55768178,55778925,1,Siglech,1023,4.66286902953439,2.40620737389236e-20,2.63830526488235
1,C1,chr2,160367065,160363677,2,Mafb,1758,4.43660507868092,2.6655579990155e-20,4.73613770013825
1,C1,chr6,17637098,17666534,1,Capza2,67,3.26983992265168,2.89475905575827e-20,1.63980348384984
1,C1,chr4,3678121,3791612,1,Lyn,7,4.30337164945207,3.82837232586091e-20,1.86000829964775
1,C1,chr13,37345345,37419036,1,Ly86,323,2.258414447659,6.64665349884978e-20,1.61490757660462
1,C1,chr2,160327494,160311401,2,Gm826,1757,3.35649942878026,1.1413617125806e-19,1.11888693148488
1,C1,chr3,59005825,59318416,1,Med12l,252,2.10267974087743,1.21633231687486e-19,2.38227618528322
1,C1,chr11,8664535,8431652,2,Tns3,97,2.14884292590717,1.38328438680096e-19,3.01681948490336
1,C1,chr17,57279100,57329236,1,Vav1,1002,3.89895339106009,1.38328438680096e-19,1.54899979132375
1,C1,chr15,74881704,74878336,2,2010109I03Rik,316,3.17870561968005,2.06734518988663e-19,1.28508366785279
1,C1,chr2,22774327,22875653,1,Apbb1ip,153,2.81770324061264,2.23363901568469e-19,2.30438852490715
1,C1,chr7,142373578,142326110,2,Ifitm10,2114,3.30139392585063,2.2707881857308e-19,2.45489109011983
1,C1,chr9,61017069,61019797,1,Gm5122,686,3.43764583811766,3.33246567716741e-19,3.56097905997802
1,C1,chr11,61762088,61729650,2,Prpsap2,569,3.24575985800665,3.67648185544859e-19,2.15821804662357
1,C1,chr7,80075257,80062710,2,Gm21057,1164,3.33946932337679,4.56663773411641e-19,3.19739724793142
1,C1,chr15,79999026,79998970,2,Mir7213,488,2.24765638963555,8.93312668641052e-19,2.83176584859703
1,C1,chr13,97198357,97176331,2,Hexb,784,3.50972155247607,9.00333900605205e-19,2.13690360000575
1,C1,chr10,44528501,44437174,2,Prdm1,267,2.94354437546837,9.21212856515962e-19,0.942815705744703
1,C1,chr15,100669500,100641082,2,Bin2,804,4.79429003930545,9.30212141674959e-19,1.92213355050784
1,C1,chr13,37826038,37952005,1,Rreb1,324,3.43167042087451,1.0409644122546e-18,1.48969000329644
1,C1,chr19,41385070,41274218,2,Pik3ap1,586,3.32834826017867,1.12042674628451e-18,2.20544360044378
1,C1,chr4,145246870,145212368,2,Tnfrsf1b,1274,5.22585955016841,1.47706924383115e-18,2.10964824317318
1,C1,chr10,60752782,60712072,2,Slc29a3,336,4.19220820681359,1.89801774315293e-18,2.05525539685569
1,C1,chr5,66151954,66016549,2,Rbm47,418,4.87305492368169,2.0022121125262e-18,1.51648551238957
1,C1,chr13,112288451,112384002,1,Ankrd55,879,2.80038016623209,2.46629395552075e-18,1.66587858064266
1,C1,chr2,167690759,167697413,1,A530013C23Rik,1883,2.50251724290862,3.96131141957958e-18,2.09458144984102
