group,group_name,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
1,C1,chr10,69533708,70027436,1,Ank3,411,3.80431075263562,5.72258028895047e-11,2.98782340009803
1,C1,chr10,89873509,90972985,1,Anks1b,758,3.76863121269234,6.2467519760464e-11,3.36751132498633
1,C1,chr2,42653598,40596773,2,Lrp1b,512,3.08540095057682,3.31577294671497e-10,2.74446647248259
1,C1,chr8,93810838,93969388,1,Gnao1,761,3.77281632215942,3.31577294671497e-10,2.16298902966233
1,C1,chr12,116485720,117278167,1,Ptprn2,819,3.306572017964,4.14476662359157e-10,2.60874504801261
1,C1,chr16,35155636,35304549,1,Adcy5,373,3.74101486205224,5.8918640251864e-10,2.66742131318278
1,C1,chr5,132542343,131437682,2,Auts2,1069,3.46235254547991,7.80458051887407e-10,3.03274553930648
1,C1,chr11,36944241,36006656,2,Tenm2,243,4.11789730166591,1.18486020375514e-09,2.15147763542759
1,C1,chr14,29721864,28904943,2,Cacna2d3,153,2.67471692238891,1.18486020375514e-09,2.27545678434901
1,C1,chr16,67620908,66655421,2,Cadm2,589,3.21935346984979,1.31495558095746e-09,2.29965765158835
1,C1,chr14,27622442,28478537,1,Erc2,151,3.72851322196962,1.75897598315791e-09,1.87440097471565
1,C1,chr13,42680799,43138526,1,Phactr1,355,3.57488522341627,1.99155187510578e-09,3.40933343880939
1,C1,chr7,91090786,92449246,1,Dlg2,1283,3.37919026399696,3.98004219610021e-09,3.68912178400101
1,C1,chr17,43801851,44039516,1,Rcan2,805,3.17838498176996,8.45773464945478e-09,1.29338960459836
1,C1,chr15,74516196,74589464,1,Adgrb1,298,4.5496166391976,9.16917847973666e-09,1.98508985609196
1,C1,chr9,37147322,36890979,2,Pknox2,286,4.66845402639563,1.75145069686621e-08,1.94977682490695
1,C1,chr14,34820136,35581115,1,Grid1,242,3.70042402804453,2.14218707777513e-08,1.7310452898649
1,C1,chr3,158562221,158082895,2,Lrrc7,1137,4.90233441276871,2.14218707777513e-08,1.65659969932448
1,C1,chr2,178118975,178338492,1,Phactr3,1968,4.37068658869198,2.34961773520682e-08,1.71696715165005
1,C1,chr16,39984371,42174242,1,Lsamp,435,2.39190231001048,2.46887981051831e-08,2.29144510696069
1,C1,chr8,93813555,93811694,2,4930488L21Rik,762,4.6105000402933,2.84138662611135e-08,2.21374431284164
1,C1,chr17,8526801,8986648,1,Pde10a,53,2.62913692710937,3.12136631018645e-08,3.31420930795851
1,C1,chr5,125532418,125792583,1,Tmem132b,1027,3.75200590043036,4.59475246379849e-08,1.52018954719802
1,C1,chr3,64949223,65378225,1,Kcnab1,286,4.55070406185566,1.08664544883975e-07,1.48556665745973
1,C1,chr10,49788754,49099463,2,Grik2,274,2.47733585208772,1.2717145829158e-07,1.55802217094221
1,C1,chr2,116067444,115861264,2,Meis2,1193,3.34487872165642,1.30314062372643e-07,1.4218891079463
1,C1,chr6,136173511,135729795,2,Grin2b,1196,4.85076893507006,1.40494633244484e-07,2.06315676883042
1,C1,chr13,58806569,59133970,1,Ntrk2,523,3.646855230932,1.85252879661468e-07,1.67652230730079
1,C1,chr4,153482830,153373221,2,Ajap1,1381,2.77126640175363,2.22404204223817e-07,0.88843342461376
1,C1,chr2,140395430,142390050,1,Macrod2,1492,2.73982495071277,2.43261887679915e-07,2.65446576810674
1,C1,chr8,118283611,119324927,1,Cdh13,1026,2.54681090325405,2.43261887679915e-07,1.61285565312142
1,C1,chr17,66449750,66336982,2,Mtcl1,1031,3.56667813136693,2.49970806213325e-07,1.16697802582253
1,C1,chr1,38664955,38175991,2,Aff3,174,3.6032737418107,2.8707763236886e-07,1.18608914760021
1,C1,chr7,96171244,96911093,1,Tenm4,1292,2.79539931701287,2.8707763236886e-07,1.84691140629264
1,C1,chr1,25829707,25067476,2,Adgrb3,101,2.87047749644552,3.86974373770407e-07,1.83233261721697
1,C1,chr17,91092952,90033644,2,Nrxn1,1177,3.8015011215453,4.248673290597e-07,1.70448855341374
1,C1,chr7,63444772,63759027,1,Otud7a,1065,4.7217726410436,4.248673290597e-07,1.05385556981853
1,C1,chr8,126139382,126395978,1,Slc35f3,1157,3.99675382287045,4.248673290597e-07,1.46065588173037
1,C1,chr6,126645801,126636463,2,Kcna1,1043,4.629880342807,4.51124448314271e-07,1.52136752766202
1,C1,chr14,17082331,16430839,2,Rarb,61,3.26824042516421,4.71707297768339e-07,1.86001089302565
1,C1,chr9,34486126,35036307,1,Kirrel3,250,3.03040560555857,5.15302334378023e-07,1.5887998492066
1,C1,chr4,87230540,86983124,2,Slc24a2,489,3.51487761690085,5.17878961555324e-07,1.13697767515034
1,C1,chr9,29963129,28995964,2,Ntm,231,2.38871377197909,6.60671512557101e-07,1.89417748097607
1,C1,chr12,108003414,107910403,2,Bcl11b,648,4.36984800684936,7.07082289293018e-07,1.01044441368837
1,C1,chr2,158666630,158766334,1,Ppp1r16b,1752,3.26442155498807,7.40415488153887e-07,1.83424432253522
1,C1,chr9,73933567,73479422,2,Unc13c,822,5.31958200105449,8.5621572151507e-07,1.39690137250872
1,C1,chr8,17535385,15892545,2,Csmd1,113,2.53572595172708,8.62318757546603e-07,1.97103289338811
1,C1,chr16,13256481,13417529,1,Mkl2,94,2.78311195138471,8.68615594768822e-07,1.41952249981752
1,C1,chr8,86580686,86504841,2,Abcc12,714,4.29623563286869,9.63038945946498e-07,0.751266796018362
1,C1,chr12,73997761,74267916,1,Syt16,342,4.2025773767279,1.01953168936749e-06,0.805210610104109
1,C1,chr3,26331909,25431841,2,Nlgn1,75,1.31139483242362,1.06222182251511e-06,1.18102230581874
1,C1,chr5,111418166,111457025,1,Mn1,782,5.60731256573753,1.0739038071806e-06,0.838266910904289
1,C1,chr1,132741797,132564690,2,Nfasc,788,4.47128578893476,1.09528894517625e-06,1.47446765517137
1,C1,chr18,38209762,38196694,2,Pcdh1,282,4.29800513628279,1.09528894517625e-06,1.28415613747155
1,C1,chr12,5375682,5077465,2,Klhl29,27,3.38620016767123,1.21649207631346e-06,1.53589912736214
1,C1,chr18,43059471,42645221,2,Ppp2r2b,308,3.18231573653152,1.21649207631346e-06,1.00584437723357
1,C1,chr10,109010975,108497650,2,Syt1,858,3.74912283600654,1.26020346644948e-06,1.66820034860936
1,C1,chr11,12464960,12236676,2,Cobl,112,2.9286178495085,1.30366210094452e-06,0.824888746048773
1,C1,chr2,143546133,143816284,1,Pcsk2,1499,4.40047358575559,1.30366210094452e-06,1.17338863347469
1,C1,chr6,86028681,86124409,1,Add2,650,3.42541447151681,1.30366210094452e-06,1.12679990374526
1,C1,chr9,62537044,62419492,2,Coro2b,699,2.77803304199313,1.30366210094452e-06,1.51433390538421
1,C1,chr12,88722876,90334935,1,Nrxn3,524,2.20602125007573,1.3489450342717e-06,2.11218810889645
1,C1,chr6,40110253,40248353,1,Tmem178b,227,4.48190941554487,1.37460835639948e-06,0.587711274420181
1,C1,chrX,88115623,86747242,2,Il1rapl1,565,4.13011347852966,1.53359400368418e-06,1.10947741101297
1,C1,chr2,21367567,21830544,1,Gpr158,149,2.76829274998342,1.60961660132782e-06,0.555788659845414
1,C1,chr5,81020571,81795730,1,Adgrl3,504,2.93256745107672,1.60961660132782e-06,1.36534354244304
1,C1,chr4,127988044,128567656,1,Csmd2,932,2.47892225272982,1.61520751979518e-06,0.732121941015215
1,C1,chr9,102354693,101922128,2,Ephb1,1010,4.27759654667543,1.72865702901138e-06,1.09285518475963
