group,group_name,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
1,C1,chr9,120068296,120048683,2,Cx3cr1,1278,5.22152680418173,1.67717506723097e-40,4.98599206568994
1,C1,chr2,128698997,128802188,1,Mertk,1379,3.42275312130159,2.67294216598641e-34,3.05406707050887
1,C1,chr11,95842476,95830072,2,Abi3,1198,5.04382473277328,1.22500089401079e-33,4.80299574349973
1,C1,chr10,60346851,60372684,1,Vsir,334,4.32877065399497,2.70924909443115e-33,4.13212568362212
1,C1,chr10,60696490,60302750,2,Cdh23,333,3.01970495788619,8.20314543276064e-31,4.09795825232304
1,C1,chr17,84187947,84183924,2,Zfp36l2,1132,2.41477721569875,2.00027629651897e-29,5.65780332428516
1,C1,chr7,114415161,114315479,2,4933406I18Rik,1701,3.19188915991962,3.78959512309838e-29,2.06982826144358
1,C1,chr9,116175363,116087695,2,Tgfbr2,1245,4.12958802205618,2.62298568214603e-28,3.15096299511313
1,C1,chr7,90029159,90049071,1,E230029C05Rik,1274,3.55798579932909,3.83152638959551e-28,3.2254644909736
1,C1,chr16,33829665,33949338,1,Itgb5,364,3.32732424850701,1.17216305245097e-27,3.40584144804748
1,C1,chr18,61105572,61131139,1,Csf1r,421,4.16786572203241,8.80267151091169e-27,3.42363098297728
1,C1,chr4,47208012,47313165,1,Col15a1,294,2.51599660831242,9.89331444147419e-27,2.88733108334545
1,C1,chr7,99711340,99657804,2,Slco2b1,1340,3.65721918590353,1.45974364344382e-26,3.00430135895578
1,C1,chr7,142387870,142375916,2,Ctsd,2115,3.80051576753231,1.45974364344382e-26,3.24957320500878
1,C1,chr7,128418172,128373625,2,Rgs10,1915,4.44838442888702,2.13666932000358e-26,2.83160674322463
1,C1,chr8,120736358,120756694,1,Irf8,1056,4.0289015908176,5.54239370243562e-26,2.46981965428342
1,C1,chr3,105053146,105001915,2,Cttnbp2nl,780,2.57855893425418,5.58783466491857e-26,3.59062778277347
1,C1,chr8,126849020,126851833,1,A630001O12Rik,1161,2.99587061194462,7.97073869904739e-26,5.53666144558964
1,C1,chr5,113800358,113793729,2,Tmem119,815,6.57165163411153,1.04296430729602e-25,3.15198333014021
1,C1,chr4,47353222,47414924,1,Tgfbr1,295,2.87347493125662,1.56666057878023e-25,2.44234722967124
1,C1,chr17,84078660,84089875,1,4933433H22Rik,1131,2.07938481880631,2.86478604115753e-25,2.92910114409464
1,C1,chr16,92826074,92601466,2,Runx1,722,3.59617161740165,5.75332271732789e-25,2.68771548111491
1,C1,chrX,167209218,167207094,2,Tmsb4x,1031,3.72565349240292,1.21678067838439e-24,3.54457378604814
1,C1,chr11,80154162,80178924,1,Adap2,980,3.86952636250621,1.74153169339846e-24,3.52713366387379
1,C1,chr11,8664535,8431652,2,Tns3,97,2.42801518393558,5.70598676652088e-24,3.18443476048034
1,C1,chr8,89044162,89027242,2,Sall1,737,3.3153791798062,8.19352177938045e-24,4.34768127865523
1,C1,chr7,80024814,80092751,1,Zfp710,1163,2.42037627652754,8.51307654715266e-24,3.70269079891471
1,C1,chr9,32541452,32422204,2,Fli1,246,3.63562431259325,8.51307654715266e-24,2.04543483203557
1,C1,chr1,87620312,87720510,1,Inpp5d,544,2.78835493637972,9.82321706494537e-24,3.02785357952733
1,C1,chr14,121965193,121952331,2,Gpr183,858,4.10445849671587,1.44537657863779e-23,2.33016366938648
1,C1,chr10,25359798,25523519,1,Epb41l2,153,3.16447245899936,4.77997353502277e-23,3.08782873670309
1,C1,chr3,59262831,59216271,2,P2ry12,258,4.32209980846967,7.07393702373294e-23,2.67989140266525
1,C1,chr6,82774454,82725025,2,Hk2,574,4.05217386946656,9.54944727087635e-23,1.73033915467509
1,C1,chr19,41385070,41274218,2,Pik3ap1,586,3.61786071180993,1.12546934639875e-22,2.35382854923919
1,C1,chr1,58711491,58759209,1,Cflar,299,6.02643414833243,1.36102128291144e-22,1.99720539542321
1,C1,chr7,142373578,142326110,2,Ifitm10,2114,4.17157759779675,1.49113972412952e-22,2.58905859620518
1,C1,chr7,55768178,55778925,1,Siglech,1023,4.95129139512492,3.10853226363653e-22,2.73459837334798
1,C1,chr2,22774327,22875653,1,Apbb1ip,153,2.99743264469044,1.11868091264955e-21,2.16836804758004
1,C1,chr17,57279100,57329236,1,Vav1,1002,5.51301517582186,1.62518635415043e-21,1.74697874465948
1,C1,chr5,113830501,113817798,2,Selplg,816,4.63870400937263,1.7745622950267e-21,2.52504988084315
1,C1,chr8,108714644,108961636,1,Zfhx3,933,1.92626725180438,2.11110358157159e-21,2.79363968208766
1,C1,chr2,145786116,145887616,1,Rin2,1523,2.7174752399193,2.77878355877677e-21,2.71418847931575
1,C1,chr18,62180126,62184403,1,Gm9949,442,4.51610403237509,3.96076582713213e-21,3.09791230805082
1,C1,chr15,74955051,74959905,1,Ly6e,317,3.17225799993427,8.70598196716594e-21,2.14615916330715
1,C1,chr13,37345345,37419036,1,Ly86,323,2.53983806141881,8.73250348290438e-21,1.78353154382988
1,C1,chr2,160327494,160311401,2,Gm826,1757,4.01573762485199,1.01313587546087e-20,1.28699588398032
1,C1,chr13,113618564,113592179,2,Snx18,899,2.51074805071968,1.02511152306872e-20,2.08978668316137
1,C1,chr18,32377217,32435740,1,Bin1,136,2.47649317177079,1.26910021433761e-20,2.63287844249271
